Win,location,WinOverall,LossOverall,WinOverall_opponent,LossOverall_opponent,Date,Season,Team,Opponent,gameNum,opponentGameNum,conference,conference_opponent,interconference,GameType
1,H,8.0,0.0,6.0,1.0,2019-12-04,2020,Maryland,NotreDame,8.0,8.0,Big 10,ACC,True,RegularSeason
0,A,14.0,12.0,16.0,10.0,2020-02-23,2020,MiamiFL,NotreDame,23.0,27.0,ACC,ACC,False,PostSeasonConferenceTournament
1,H,10.0,4.0,10.0,4.0,2020-01-08,2020,NCState,NotreDame,11.0,15.0,ACC,ACC,False,RegularSeason
0,H,8.0,5.0,9.0,4.0,2020-01-04,2020,Syracuse,NotreDame,13.0,14.0,ACC,ACC,False,RegularSeason
1,A,11.0,7.0,11.0,6.0,2020-01-22,2020,Syracuse,NotreDame,17.0,18.0,ACC,ACC,False,RegularSeason
0,A,7.0,3.0,7.0,3.0,2019-12-14,2020,UCLA,NotreDame,8.0,11.0,Pac 12,ACC,True,RegularSeason
0,A,9.0,10.0,11.0,8.0,2020-01-29,2020,WakeForest,NotreDame,17.0,20.0,ACC,ACC,False,RegularSeason
0,A,3.0,8.0,6.0,7.0,2020-01-04,2020,AlabamaAM,GramblingState,9.0,10.0,SWAC,SWAC,False,RegularSeason
0,A,1.0,13.0,7.0,7.0,2020-01-06,2020,AlabamaState,GramblingState,15.0,11.0,SWAC,SWAC,False,RegularSeason
1,H,5.0,9.0,9.0,7.0,2020-01-13,2020,AlcornState,GramblingState,10.0,13.0,SWAC,SWAC,False,RegularSeason
0,A,10.0,11.0,12.0,11.0,2020-02-10,2020,AlcornState,GramblingState,15.0,20.0,SWAC,SWAC,False,RegularSeason
1,H,9.0,2.0,6.0,6.0,2019-12-23,2020,Dayton,GramblingState,11.0,9.0,A-10,SWAC,True,RegularSeason
1,H,5.0,14.0,9.0,10.0,2020-01-25,2020,JacksonState,GramblingState,15.0,16.0,SWAC,SWAC,False,RegularSeason
0,H,3.0,12.0,8.0,7.0,2020-01-11,2020,Southern,GramblingState,10.0,12.0,SWAC,SWAC,False,RegularSeason
0,A,9.0,13.0,11.0,11.0,2020-02-08,2020,Southern,GramblingState,15.0,19.0,SWAC,SWAC,False,RegularSeason
1,A,6.0,11.0,9.0,9.0,2020-01-20,2020,TexasSouthern,GramblingState,15.0,15.0,SWAC,SWAC,False,RegularSeason
0,N,5.0,10.0,2.0,15.0,2020-01-18,2020,AlabamaAM,AlabamaState,11.0,18.0,SWAC,SWAC,False,RegularSeason
1,H,9.0,9.0,3.0,16.0,2020-01-27,2020,AlcornState,AlabamaState,12.0,20.0,SWAC,SWAC,False,RegularSeason
1,N,5.0,6.0,1.0,10.0,2019-12-22,2020,AustinPeay,AlabamaState,8.0,12.0,OVC,SWAC,True,RegularSeason
1,H,5.0,4.0,1.0,8.0,2019-12-14,2020,BoiseState,AlabamaState,9.0,10.0,MWC,SWAC,True,RegularSeason
1,H,7.0,7.0,1.0,13.0,2020-01-06,2020,GramblingState,AlabamaState,8.0,15.0,SWAC,SWAC,False,RegularSeason
1,H,3.0,10.0,1.0,12.0,2020-01-04,2020,JacksonState,AlabamaState,10.0,14.0,SWAC,SWAC,False,RegularSeason
1,H,5.0,3.0,1.0,7.0,2019-12-11,2020,KansasState,AlabamaState,6.0,9.0,Big 12,SWAC,True,RegularSeason
1,H,10.0,2.0,1.0,11.0,2019-12-29,2020,Oregon,AlabamaState,12.0,13.0,Pac 12,SWAC,True,RegularSeason
1,H,7.0,3.0,1.0,6.0,2019-12-09,2020,SouthDakota,AlabamaState,7.0,8.0,Summit,SWAC,True,RegularSeason
1,H,6.0,13.0,3.0,15.0,2020-01-25,2020,Southern,AlabamaState,12.0,19.0,SWAC,SWAC,False,RegularSeason
0,A,10.0,11.0,4.0,17.0,2020-02-03,2020,TexasSouthern,AlabamaState,17.0,22.0,SWAC,SWAC,False,RegularSeason
1,N,6.0,4.0,1.0,9.0,2019-12-21,2020,UAB,AlabamaState,9.0,11.0,C-USA,SWAC,True,RegularSeason
0,A,5.0,11.0,8.0,9.0,2020-01-25,2020,AlabamaAM,AlcornState,12.0,14.0,SWAC,SWAC,False,RegularSeason
0,A,3.0,16.0,9.0,9.0,2020-01-27,2020,AlabamaState,AlcornState,18.0,15.0,SWAC,SWAC,False,RegularSeason
0,A,9.0,7.0,5.0,9.0,2020-01-13,2020,GramblingState,AlcornState,10.0,11.0,SWAC,SWAC,False,RegularSeason
1,H,12.0,11.0,10.0,11.0,2020-02-10,2020,GramblingState,AlcornState,14.0,18.0,SWAC,SWAC,False,RegularSeason
1,A,4.0,11.0,5.0,8.0,2020-01-11,2020,JacksonState,AlcornState,12.0,10.0,SWAC,SWAC,False,RegularSeason
1,H,8.0,14.0,10.0,10.0,2020-02-08,2020,JacksonState,AlcornState,16.0,17.0,SWAC,SWAC,False,RegularSeason
1,H,12.0,2.0,4.0,6.0,2019-12-29,2020,SantaClara,AlcornState,8.0,7.0,WCC,SWAC,True,RegularSeason
1,H,8.0,13.0,10.0,9.0,2020-02-01,2020,Southern,AlcornState,14.0,16.0,SWAC,SWAC,False,RegularSeason
0,H,4.0,10.0,4.0,8.0,2020-01-06,2020,TexasSouthern,AlcornState,13.0,9.0,SWAC,SWAC,False,RegularSeason
1,H,7.0,2.0,3.0,5.0,2019-12-16,2020,Tulane,AlcornState,7.0,6.0,AAC,SWAC,True,RegularSeason
0,H,5.0,13.0,9.0,11.0,2020-02-01,2020,AlabamaAM,TexasSouthern,14.0,20.0,SWAC,SWAC,False,RegularSeason
1,H,4.0,17.0,10.0,11.0,2020-02-03,2020,AlabamaState,TexasSouthern,19.0,21.0,SWAC,SWAC,False,PostSeasonConferenceTournament
1,A,4.0,8.0,4.0,10.0,2020-01-06,2020,AlcornState,TexasSouthern,8.0,14.0,SWAC,SWAC,False,RegularSeason
1,H,8.0,4.0,3.0,8.0,2019-12-28,2020,ArizonaState,TexasSouthern,9.0,11.0,Pac 12,SWAC,True,RegularSeason
1,H,8.0,1.0,2.0,5.0,2019-12-04,2020,Gonzaga,TexasSouthern,9.0,8.0,WCC,SWAC,True,RegularSeason
0,H,9.0,9.0,6.0,11.0,2020-01-20,2020,GramblingState,TexasSouthern,11.0,17.0,SWAC,SWAC,False,RegularSeason
0,H,5.0,12.0,5.0,11.0,2020-01-18,2020,JacksonState,TexasSouthern,14.0,16.0,SWAC,SWAC,False,RegularSeason
0,A,10.0,14.0,10.0,13.0,2020-02-15,2020,JacksonState,TexasSouthern,18.0,23.0,SWAC,SWAC,False,RegularSeason
1,H,7.0,4.0,3.0,6.0,2019-12-18,2020,Nevada,TexasSouthern,11.0,9.0,MWC,SWAC,True,RegularSeason
1,H,9.0,2.0,3.0,7.0,2019-12-21,2020,Oregon,TexasSouthern,11.0,10.0,Pac 12,SWAC,True,RegularSeason
0,A,3.0,10.0,3.0,10.0,2020-01-04,2020,Southern,TexasSouthern,9.0,13.0,SWAC,SWAC,False,RegularSeason
1,H,5.0,5.0,3.0,9.0,2019-12-30,2020,TexasAM,TexasSouthern,10.0,12.0,SEC,SWAC,True,RegularSeason
0,A,11.0,5.0,9.0,9.0,2010-01-21,2010,Campbell,Belmont,10.0,19.0,Big South,OVC,True,RegularSeason
0,H,12.0,7.0,11.0,10.0,2010-01-30,2010,Campbell,Belmont,12.0,22.0,Big South,OVC,True,RegularSeason
1,H,7.0,8.0,9.0,8.0,2010-01-16,2010,Jacksonville,Belmont,13.0,18.0,A-Sun,OVC,True,RegularSeason
1,H,11.0,0.0,7.0,4.0,2009-12-29,2010,Kansas,Belmont,9.0,12.0,Big 12,OVC,True,RegularSeason
1,H,7.0,7.0,9.0,6.0,2010-01-11,2010,Lipscomb,Belmont,9.0,16.0,A-Sun,OVC,True,RegularSeason
1,A,9.0,10.0,11.0,9.0,2010-01-26,2010,Lipscomb,Belmont,13.0,21.0,A-Sun,OVC,True,RegularSeason
0,H,3.0,4.0,5.0,2.0,2009-12-05,2010,Mercer,Belmont,7.0,8.0,Southern,OVC,True,RegularSeason
1,H,8.0,8.0,9.0,7.0,2010-01-14,2010,NorthFlorida,Belmont,13.0,17.0,A-Sun,OVC,True,RegularSeason
1,H,6.0,3.0,7.0,2.0,2009-12-16,2010,SaintLouis,Belmont,7.0,10.0,A-10,OVC,True,RegularSeason
0,A,3.0,8.0,7.0,6.0,2010-01-04,2010,Stetson,Belmont,6.0,14.0,A-Sun,OVC,True,RegularSeason
1,H,6.0,7.0,5.0,7.0,2010-01-02,2010,Lamar,Tulane,8.0,13.0,Southland,AAC,True,RegularSeason
1,H,14.0,2.0,6.0,10.0,2010-01-16,2010,Marshall,Tulane,10.0,17.0,C-USA,AAC,True,RegularSeason
1,A,19.0,7.0,7.0,18.0,2010-02-20,2010,Marshall,Tulane,18.0,26.0,C-USA,AAC,True,RegularSeason
1,A,18.0,7.0,7.0,17.0,2010-02-17,2010,Memphis,Tulane,23.0,25.0,AAC,AAC,False,PostSeasonConferenceTournament
1,A,11.0,8.0,6.0,13.0,2010-01-30,2010,SouthernMississippi,Tulane,26.0,20.0,C-USA,AAC,True,PostSeasonConferenceTournament
0,A,6.0,9.0,5.0,10.0,2010-01-13,2010,Rice,Tulane,14.0,16.0,C-USA,AAC,True,RegularSeason
0,H,7.0,13.0,6.0,14.0,2010-02-03,2010,Rice,Tulane,18.0,21.0,C-USA,AAC,True,RegularSeason
1,A,10.0,11.0,7.0,14.0,2010-02-06,2010,SouthernMethodist,Tulane,17.0,22.0,AAC,AAC,False,RegularSeason
1,H,10.0,3.0,5.0,8.0,2010-01-06,2010,Tulsa,Tulane,11.0,14.0,AAC,AAC,False,RegularSeason
1,A,13.0,2.0,5.0,9.0,2010-01-09,2010,UAB,Tulane,11.0,15.0,C-USA,AAC,True,RegularSeason
1,H,11.0,12.0,7.0,16.0,2010-02-13,2010,UCF,Tulane,21.0,24.0,AAC,AAC,False,PostSeasonConferenceTournament
1,H,13.0,5.0,6.0,12.0,2010-01-27,2010,UTEP,Tulane,15.0,19.0,C-USA,AAC,True,RegularSeason
1,A,6.0,2.0,3.0,6.0,2009-12-19,2010,VCU,Tulane,7.0,10.0,A-10,AAC,True,RegularSeason
1,A,1.0,8.0,6.0,3.0,2009-12-16,2010,AmericanUniversity,DePaul,6.0,10.0,Patriot,Big East,True,RegularSeason
1,A,10.0,1.0,7.0,6.0,2010-01-03,2010,Georgetown,DePaul,9.0,14.0,Big East,Big East,False,RegularSeason
0,A,11.0,6.0,7.0,10.0,2010-01-20,2010,Marquette,DePaul,16.0,18.0,Big East,Big East,False,RegularSeason
1,H,13.0,8.0,8.0,13.0,2010-02-03,2010,Marquette,DePaul,20.0,22.0,Big East,Big East,False,PostSeasonConferenceTournament
1,H,14.0,5.0,8.0,10.0,2010-01-23,2010,NotreDame,DePaul,17.0,19.0,ACC,Big East,True,RegularSeason
1,A,10.0,6.0,7.0,8.0,2010-01-14,2010,Providence,DePaul,14.0,16.0,Big East,Big East,False,RegularSeason
1,H,13.0,9.0,8.0,15.0,2010-02-14,2010,SetonHall,DePaul,18.0,24.0,Big East,Big East,False,RegularSeason
1,A,20.0,1.0,8.0,12.0,2010-01-30,2010,Syracuse,DePaul,16.0,21.0,ACC,Big East,True,RegularSeason
0,A,3.0,7.0,6.0,4.0,2009-12-19,2010,TexasState,DePaul,8.0,11.0,Sunbelt,Big East,True,RegularSeason
1,H,13.0,9.0,8.0,14.0,2010-02-06,2010,Connecticut,DePaul,20.0,23.0,AAC,Big East,True,PostSeasonConferenceTournament
1,H,5.0,1.0,5.0,1.0,2009-12-05,2010,Vanderbilt,DePaul,6.0,7.0,SEC,Big East,True,RegularSeason
1,H,12.0,1.0,7.0,7.0,2010-01-06,2010,Villanova,DePaul,11.0,15.0,Big East,Big East,False,RegularSeason
1,A,15.0,3.0,8.0,11.0,2010-01-26,2010,WestVirginia,DePaul,17.0,20.0,Big 12,Big East,True,RegularSeason
1,H,9.0,9.0,6.0,12.0,2010-01-23,2010,Bradley,Evansville,14.0,18.0,MVC,MVC,False,RegularSeason
1,A,11.0,11.0,6.0,16.0,2010-02-06,2010,Bradley,Evansville,18.0,22.0,MVC,MVC,False,RegularSeason
1,A,5.0,8.0,6.0,6.0,2010-01-03,2010,Creighton,Evansville,13.0,12.0,Big East,MVC,True,RegularSeason
1,H,11.0,11.0,6.0,15.0,2010-02-03,2010,Creighton,Evansville,21.0,21.0,Big East,MVC,True,PostSeasonConferenceTournament
1,A,8.0,11.0,6.0,11.0,2010-01-20,2010,Drake,Evansville,18.0,17.0,MVC,MVC,False,RegularSeason
1,A,11.0,3.0,6.0,7.0,2010-01-06,2010,IllinoisState,Evansville,11.0,13.0,MVC,MVC,False,RegularSeason
1,H,12.0,4.0,6.0,9.0,2010-01-13,2010,IllinoisState,Evansville,13.0,15.0,MVC,MVC,False,RegularSeason
1,H,10.0,5.0,6.0,8.0,2010-01-10,2010,IndianaState,Evansville,12.0,14.0,MVC,MVC,False,RegularSeason
1,A,12.0,9.0,6.0,14.0,2010-01-31,2010,IndianaState,Evansville,17.0,20.0,MVC,MVC,False,RegularSeason
1,H,14.0,6.0,6.0,13.0,2010-01-27,2010,MissouriState,Evansville,19.0,19.0,MVC,MVC,False,PostSeasonConferenceTournament
1,H,10.0,1.0,6.0,5.0,2010-01-01,2010,NorthernIowa,Evansville,10.0,11.0,MVC,MVC,False,RegularSeason
0,A,20.0,5.0,6.0,17.0,2010-02-09,2010,WichitaState,Evansville,20.0,23.0,AAC,MVC,True,PostSeasonConferenceTournament
1,A,3.0,8.0,2.0,6.0,2010-01-04,2010,AlabamaState,GramblingState,8.0,7.0,SWAC,SWAC,False,RegularSeason
1,H,2.0,12.0,3.0,7.0,2010-01-09,2010,Southern,GramblingState,11.0,9.0,SWAC,SWAC,False,RegularSeason
1,H,11.0,11.0,6.0,13.0,2010-02-13,2010,TexasSouthern,GramblingState,15.0,15.0,SWAC,SWAC,False,RegularSeason
1,H,8.0,10.0,10.0,9.0,2010-01-30,2010,AlabamaState,TexasSouthern,13.0,16.0,SWAC,SWAC,False,RegularSeason
0,A,6.0,13.0,11.0,11.0,2010-02-13,2010,GramblingState,TexasSouthern,14.0,19.0,SWAC,SWAC,False,RegularSeason
1,A,9.0,13.0,8.0,11.0,2010-02-13,2010,AlabamaState,AlabamaAM,14.0,14.0,SWAC,SWAC,False,RegularSeason
0,A,12.0,3.0,13.0,4.0,2011-01-15,2011,Baylor,IowaState,14.0,18.0,Big 12,Big 12,False,RegularSeason
0,A,3.0,10.0,10.0,2.0,2010-12-21,2011,ChicagoState,IowaState,8.0,13.0,WAC,Big 12,True,RegularSeason
